"filename", "language", "Markdown", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\.CodeCounter\details.md", "Markdown", 112, 0, 0, 0, 0, 6, 118
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\.CodeCounter\results.md", "Markdown", 14, 0, 0, 0, 0, 7, 21
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\game_sample.html", "HTML", 0, 0, 18, 0, 1, 1, 20
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\game_sample_record.html", "HTML", 0, 0, 39, 0, 2, 2, 43
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\game_sample_test.html", "HTML", 0, 0, 31, 0, 1, 6, 38
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\test\qunit-1.15.0.css", "CSS", 0, 0, 0, 161, 19, 58, 238
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\test\qunit-1.15.0.js", "JavaScript", 0, 1811, 0, 0, 307, 382, 2500
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\exclass\test\test.js", "JavaScript", 0, 375, 0, 0, 0, 3, 378
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample.html", "HTML", 0, 0, 18, 0, 1, 1, 20
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\Local_map_0.js", "JavaScript", 0, 4254, 0, 0, 102, 438, 4794
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\arror_attack.js", "JavaScript", 0, 43, 0, 0, 0, 3, 46
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\backpack.js", "JavaScript", 0, 442, 0, 0, 5, 24, 471
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\bat_wing.js", "JavaScript", 0, 9, 0, 0, 1, 1, 11
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\bombMan.js", "JavaScript", 0, 448, 0, 0, 11, 48, 507
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\building_remance.js", "JavaScript", 0, 28, 0, 0, 0, 2, 30
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\characterStatus.js", "JavaScript", 0, 71, 0, 0, 0, 13, 84
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\character_description.js", "JavaScript", 0, 142, 0, 0, 0, 6, 148
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\clock.js", "JavaScript", 0, 95, 0, 0, 0, 11, 106
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\constants.js", "JavaScript", 0, 31, 0, 0, 0, 4, 35
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\creation_blood_status.js", "JavaScript", 0, 88, 0, 0, 0, 8, 96
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\define.js", "JavaScript", 0, 58, 0, 0, 0, 1, 59
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\drama0.js", "JavaScript", 0, 55, 0, 0, 0, 4, 59
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\equipmentBar.js", "JavaScript", 0, 50, 0, 0, 1, 6, 57
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\fishing.js", "JavaScript", 0, 48, 0, 0, 0, 8, 56
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\flying_arror.js", "JavaScript", 0, 111, 0, 0, 0, 14, 125
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\food_base.js", "JavaScript", 0, 23, 0, 0, 2, 4, 29
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\game.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"d:\OOP實習\OOP_Project_Dont_Starve_2\OOP_Project_Dont_Starve\OOP_Project_Dont_Starve\很飢餓的遊戲!!!\demo\main\game_sample\js\gameOver.js", "JavaScript", 0, 36, 0, 0, 2, 5, 43
