Date : 2020-06-20 11:47:39
Directory : ./
Total : 103 files,  20230 codes, 449 comments, 14 blanks, all 20693 lines, 2.17% comment rate

Languages
+------------+------------+------------+------------+------------+------------+--------------+
| language   | files      | code       | comment    | blank      | total      | comment rate |
+------------+------------+------------+------------+------------+------------+--------------+
| JavaScript |        101 |     20,104 |        449 |          1 |     20,554 |        2.18% |
| Markdown   |          2 |        126 |          0 |         13 |        139 |        0.00% |
+------------+------------+------------+------------+------------+------------+--------------+

Directories
+-----------------------------+------------+------------+------------+------------+------------+--------------+
| path                        | files      | code       | comment    | blank      | total      | comment rate |
+-----------------------------+------------+------------+------------+------------+------------+--------------+
| .                           |        103 |     20,230 |        449 |         14 |     20,693 |        2.17% |
| .VSCodeCounter              |          2 |        126 |          0 |         13 |        139 |        0.00% |
+-----------------------------+------------+------------+------------+------------+------------+--------------+

Files
+-----------------------------+------------+------------+------------+------------+------------+--------------+
| filename                    | language   | code       | comment    | blank      | total      | comment rate |
+-----------------------------+------------+------------+------------+------------+------------+--------------+
| .VSCodeCounter\details.md   | Markdown   |        112 |          0 |          6 |        118 |        0.00% |
| .VSCodeCounter\results.md   | Markdown   |         14 |          0 |          7 |         21 |        0.00% |
| Local_map_0.js              | JavaScript |      4,253 |        102 |          0 |      4,355 |        2.34% |
| arror_attack.js             | JavaScript |         43 |          0 |          0 |         43 |        0.00% |
| backpack.js                 | JavaScript |        395 |          5 |          0 |        400 |        1.25% |
| bat_wing.js                 | JavaScript |          9 |          1 |          0 |         10 |       10.00% |
| bombMan.js                  | JavaScript |        447 |          8 |          0 |        455 |        1.76% |
| building_remance.js         | JavaScript |         28 |          0 |          0 |         28 |        0.00% |
| character_description.js    | JavaScript |        142 |          0 |          0 |        142 |        0.00% |
| clock.js                    | JavaScript |         95 |          0 |          0 |         95 |        0.00% |
| constants.js                | JavaScript |         14 |          0 |          0 |         14 |        0.00% |
| creation_blood_status.js    | JavaScript |         88 |          0 |          0 |         88 |        0.00% |
| define.js                   | JavaScript |         58 |          0 |          0 |         58 |        0.00% |
| drama0.js                   | JavaScript |         55 |          0 |          0 |         55 |        0.00% |
| equipmentBar.js             | JavaScript |         50 |          1 |          0 |         51 |        1.96% |
| fishing.js                  | JavaScript |         48 |          0 |          0 |         48 |        0.00% |
| flying_arror.js             | JavaScript |        111 |          0 |          0 |        111 |        0.00% |
| food_base.js                | JavaScript |         23 |          2 |          0 |         25 |        8.00% |
| game.min.js                 | JavaScript |          1 |          0 |          0 |          1 |        0.00% |
| gameOver.js                 | JavaScript |         34 |          1 |          0 |         35 |        2.86% |
| game_object_detail.js       | JavaScript |        108 |          5 |          0 |        113 |        4.42% |
| handle_game_over.js         | JavaScript |         67 |          0 |          0 |         67 |        0.00% |
| handle_initial_character.js | JavaScript |        242 |          0 |          0 |        242 |        0.00% |
| item_armor.js               | JavaScript |         32 |          2 |          0 |         34 |        5.88% |
| item_bee_sting.js           | JavaScript |         26 |          2 |          0 |         28 |        7.14% |
| item_berry.js               | JavaScript |          9 |          1 |          0 |         10 |       10.00% |
| item_black_berry.js         | JavaScript |          9 |          1 |          0 |         10 |       10.00% |
| item_blank.js               | JavaScript |         15 |          0 |          0 |         15 |        0.00% |
